"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"1" "FBgn0013077" 16.9220973301225 -4.55526801652147 1.00636722752631 9.1472734047828e-07 1.365900176507e-05
"2" "FBgn0013139" 89.5423219065911 -0.918684076614385 0.285619441752187 0.000144736878019127 0.00123793543375378
"3" "FBgn0082392" 3147.9161920125 0.829448065662717 0.139811603019817 5.13811894040323e-10 1.41344030190075e-08
"4" "FBgn0013145" 82.1647433012464 1.41043500156569 0.530261442284022 0.000437852865780627 0.0031748003567769
"5" "FBgn0013112" 101.54564251321 -4.00935429435164 0.342229809751337 1.34188411896539e-32 2.68650170558052e-30
"6" "FBgn0062715" 178.091746554595 3.6051329176976 0.260487537802281 1.05177148573077e-44 3.66796823620495e-42
"7" "FBgn0013090" 8.74657942978061 2.27594298927459 1.13730950645951 0.00177748986539291 0.0103147841839843
"8" "FBgn0013147" 197.336532166922 0.611520365736939 0.246322724434139 0.00271748855323914 0.0146550546603522
"9" "FBgn0041262" 219.637668787967 -2.03754118100595 0.225730488553539 1.16430295804453e-20 9.91124352710188e-19
"10" "FBgn0197340" 445.769568522607 -0.892268050527017 0.126061115200245 2.03040588442554e-13 9.10818174959525e-12
"11" "FBgn0197346" 128.370853996005 -1.44002974242883 0.231919492413968 4.25949933772791e-11 1.39811831880932e-09
"12" "FBgn0197359" 226.070201192966 -4.06080546531036 0.29952784004537 1.63328688646564e-43 5.19337192046471e-41
"13" "FBgn0197365" 113.96971933799 1.34074505669371 0.377581594123847 2.67807957254627e-05 0.000275740173893312
"14" "FBgn0197372" 21.5014408370273 -1.40273047137138 0.575968116803939 0.000846079534534752 0.00556906847621431
"15" "FBgn0197385" 52.8367322662307 -2.85196078551535 0.397526485430161 4.14851380845571e-14 1.94998186013977e-12
"16" "FBgn0197405" 5.38740140016604 3.76657584149196 1.72551090147472 0.00119344479556185 0.00736855036254663
"17" "FBgn0197409" 17.8335382402426 3.08015818195542 1.74482249314191 0.00173405141988829 0.0101006626618601
"18" "FBgn0197419" 58.3156366092171 -2.05920770238961 0.345328199469513 1.72201210144592e-10 5.14272730075464e-09
"19" "FBgn0197420" 122.906275975172 -2.0600635360258 0.233027132257512 6.02613167358178e-20 4.97316866588493e-18
"20" "FBgn0197439" 174.350014159063 -0.634375828221611 0.188029110846401 0.00015873433301568 0.00133546838461674
"21" "FBgn0197440" 549.324562365763 -0.651908759609085 0.136911470003337 4.20391270497038e-07 6.7833582467813e-06
"22" "FBgn0197446" 2669.24518749158 0.61762613699911 0.064423466274477 2.41515341365198e-22 2.29037048727996e-20
"23" "FBgn0197467" 21.3740542867065 1.27429399643521 0.554180113360522 0.00126401122408346 0.00774672638524166
"24" "FBgn0197475" 1339.73561646364 -1.51846260739767 0.16092384086512 3.09955271520067e-22 2.91384907861169e-20
"25" "FBgn0197491" 175.268102512636 -1.30158298602119 0.192943513037166 1.22474225215352e-12 4.76283758562293e-11
"26" "FBgn0197503" 905.149579352572 -1.77316527553841 0.160018503598413 1.16192315844001e-29 1.84728695086691e-27
"27" "FBgn0197523" 229.981450744433 -0.651785447951135 0.182579458631406 7.40329487715366e-05 0.000678855139244344
"28" "FBgn0197539" 97.8804282515347 -0.868607199842644 0.246800273336867 5.39789749493885e-05 0.000512800262019191
"29" "FBgn0197542" 21.6611694302557 -2.48676277207232 0.679608270726273 1.32970474263975e-05 0.000151002499713008
"30" "FBgn0197544" 143.061358926146 -2.24124058427382 0.238092526870061 3.39293597909234e-22 3.13513084358695e-20
"31" "FBgn0197553" 297.385078068493 1.07922258252358 0.169567864558219 2.08756733089313e-11 7.11946069851281e-10
"32" "FBgn0197564" 64.776424756218 -4.96355300993845 0.545894640155447 1.93875866906996e-20 1.63749374775901e-18
"33" "FBgn0197599" 98.1660434198321 1.2185918943413 0.260844891597113 2.54184276959064e-07 4.22117698648915e-06
"34" "FBgn0197616" 2294.92438958403 0.668351245142083 0.123837660869563 1.50325878984634e-08 3.10147533912762e-07
"35" "FBgn0197618" 190.631475143488 0.84235664447459 0.19564362431527 2.33622218056008e-06 3.22813991764877e-05
"36" "FBgn0197646" 223.482479390893 -1.86034481295988 0.171161318282896 1.01675973829015e-28 1.44634072771774e-26
"37" "FBgn0202337" 121.597065890677 2.05369207477321 0.253801884836676 3.75571265802794e-17 2.38841232623177e-15
"38" "FBgn0202339" 15.8967511385632 2.5482947556885 0.704109087537871 1.75264707608544e-05 0.0001915861227458
"39" "FBgn0202342" 192.779956199883 -0.792564551598555 0.197535968041358 9.15724852485355e-06 0.000109270434660256
"40" "FBgn0202385" 45.8271725724525 4.405311060748 0.546107773400647 1.18959635314626e-16 7.06633306256276e-15
"41" "FBgn0202397" 897.002055251949 -0.754477210985161 0.122387570807319 1.27476094192136e-10 3.90409080541411e-09
"42" "FBgn0202424" 17.3885261533359 -2.13301585155655 0.664444056354765 7.33882467723087e-05 0.000674086946351257
"43" "FBgn0202426" 1255.84928178223 1.21285510185011 0.230845170737052 1.3037382774703e-08 2.74559967177837e-07
"44" "FBgn0202441" 205.908852527377 0.995135328365596 0.242374846251197 4.33466049538393e-06 5.59880700305802e-05
"45" "FBgn0202527" 18.7872150813671 -1.62098605501709 0.595165224112341 0.000354773719559464 0.00267076125332828
"46" "FBgn0202531" 5.85624494535059 3.96422029998769 1.68421260650901 0.000805217371034757 0.00535291097044521
"47" "FBgn0202548" 241.406532894113 -4.15286187825663 0.291647296173772 1.42072052402977e-47 5.2963481328572e-45
"48" "FBgn0202559" 797.270571995878 1.05040762079607 0.152113741660278 5.69314357136045e-13 2.34918225763274e-11
"49" "FBgn0202560" 11932.4504057884 1.0911633538928 0.167224894746312 6.9191901671787e-12 2.47693261249566e-10
"50" "FBgn0202588" 664.023426865623 0.886211963187372 0.122263251795522 6.0431117435702e-14 2.82822861730465e-12
"51" "FBgn0202612" 346.522174168396 -0.899311121381996 0.168378678847596 1.23177896647581e-08 2.61883042216968e-07
"52" "FBgn0202632" 1214.84316397204 -0.971609045385876 0.165818236664108 5.55055930109859e-10 1.50393725825005e-08
"53" "FBgn0202647" 1562.59491374315 -0.590058094889061 0.140397514025252 7.05643702499121e-06 8.58123067234871e-05
"54" "FBgn0202655" 93.6890005267984 -1.74651666755623 0.272091601815565 1.00047032644866e-11 3.50035103535159e-10
"55" "FBgn0202667" 90.9925639246129 -1.05758129773979 0.297858649316957 3.45385225234205e-05 0.000344143748387741
"56" "FBgn0202675" 175.932432383169 0.711532505041307 0.329190345092713 0.00433761433253164 0.021344537345926
"57" "FBgn0202684" 134.570746035192 0.66532587691037 0.262646174011747 0.0020444525998576 0.0115538824135183
"58" "FBgn0202685" 128.295158609174 1.24745670665293 0.325727661372581 1.0166996270702e-05 0.000119733547584487
"59" "FBgn0202701" 218.878541701375 3.60119694936125 1.32353864369575 0.00017073918964676 0.00142098643515868
"60" "FBgn0202711" 2969.24037113182 0.907404811264252 0.0888467901959965 2.45668027054127e-25 2.76658025050226e-23
"61" "FBgn0202716" 130.719121281259 1.00252826505503 0.245254616459861 4.62269820307473e-06 5.89339507941521e-05
"62" "FBgn0202777" 78.5561020089968 1.05945395146487 0.300805285536377 3.97535278930141e-05 0.000389642239393813
"63" "FBgn0202781" 11313.9578140357 1.09605041028545 0.158531749041552 5.26109281108895e-13 2.18760286079548e-11
