FBgn0082392
FBgn0013111
FBgn0062279
FBgn0013132
FBgn0013917
FBgn0013088
FBgn0023562
FBgn0043390
FBgn0064315
FBgn0062278
FBgn0013112
FBgn0062715
FBgn0044889
FBgn0013096
FBgn0013109
FBgn0067462
FBgn0020676
FBgn0013137
FBgn0067465
FBgn0015211
FBgn0068557
FBgn0040402
FBgn0015684
FBgn0015205
FBgn0041262
FBgn0044890
FBgn0064309
FBgn0020976
FBgn0086437
FBgn0086440
FBgn0197337
FBgn0197341
FBgn0197348
FBgn0197351
FBgn0197359
FBgn0197362
FBgn0197367
FBgn0197371
FBgn0197378
FBgn0197382
FBgn0197385
FBgn0197395
FBgn0197396
FBgn0197413
FBgn0197414
FBgn0197420
FBgn0197433
FBgn0197445
FBgn0197465
FBgn0197471
FBgn0197489
FBgn0197491
FBgn0197502
FBgn0197507
FBgn0197519
FBgn0197540
FBgn0197544
FBgn0197547
FBgn0197559
FBgn0197563
FBgn0197564
FBgn0197573
FBgn0197585
FBgn0197591
FBgn0197599
FBgn0197602
FBgn0197612
FBgn0197616
FBgn0197638
FBgn0197646
FBgn0202316
FBgn0202322
FBgn0202332
FBgn0202333
FBgn0202368
FBgn0202385
FBgn0202386
FBgn0202390
FBgn0202404
FBgn0202407
FBgn0202416
FBgn0202424
FBgn0202426
FBgn0202432
FBgn0202437
FBgn0202438
FBgn0202443
FBgn0202445
FBgn0202462
FBgn0202465
FBgn0202482
FBgn0202544
FBgn0202559
FBgn0202568
FBgn0202573
FBgn0202576
FBgn0202588
FBgn0202593
FBgn0202604
FBgn0202612
FBgn0202650
FBgn0202655
FBgn0202667
FBgn0202680
FBgn0202685
FBgn0202688
FBgn0202694
FBgn0202695
FBgn0202696
FBgn0202698
FBgn0202711
FBgn0202721
FBgn0202740
FBgn0202752
FBgn0202765
FBgn0202781
FBgn0202790
FBgn0202792
FBgn0202811
FBgn0202818
FBgn0202836
FBgn0202837
FBgn0202860
FBgn0202878
FBgn0202885
FBgn0202886
FBgn0202887
FBgn0202891
FBgn0202899
FBgn0202900
FBgn0202907
FBgn0202914
FBgn0202917
FBgn0202918
